Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,17-Dec-10,3-Jan-11
First Southern Bank ,Batesville,AR,58052,Southern Bank,17-Dec-10,3-Jan-11
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,17-Dec-10,3-Jan-11
"Appalachian Community Bank, FSB ",McCaysville,GA,58495,Peoples Bank of East Tennessee,17-Dec-10,3-Jan-11
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,17-Dec-10,4-Jan-11
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,17-Dec-10,3-Jan-11
Earthstar Bank,Southampton,PA,35561,Polonia Bank,10-Dec-10,15-Dec-10
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,10-Dec-10,15-Dec-10
First Banking Center,Burlington,WI,5287,First Michigan Bank,19-Nov-10,13-Dec-10
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,19-Nov-10,16-Dec-10
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,19-Nov-10,4-Jan-11
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",12-Nov-10,5-Jan-11
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,12-Nov-10,5-Jan-11
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,12-Nov-10,11-Feb-10
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,5-Nov-10,14-Dec-10
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,5-Nov-10,11-Feb-10
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,5-Nov-10,12-Nov-10
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company,5-Nov-10,12-Nov-10
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,22-Oct-10,27-Oct-10
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",22-Oct-10,27-Oct-10
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,22-Oct-10,27-Oct-10
The First National Bank of Barnesville,Barnesville,GA,2119,"United Bank, Zebulon",22-Oct-10,22-Oct-10
The Gordon Bank,Gordon,GA,33904,Morris Bank,22-Oct-10,27-Oct-10
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,22-Oct-10,27-Oct-10
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,22-Oct-10,27-Oct-10
Premier Bank,Jefferson City,MO,34016,Providence Bank,15-Oct-10,20-Oct-10
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,15-Oct-10,20-Oct-10
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,15-Oct-10,20-Oct-10
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,1-Oct-10,7-Oct-10
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,1-Oct-10,7-Oct-10
North County Bank,Arlington,WA,35053,Whidbey Island Bank,24-Sep-10,29-Sep-10
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,24-Sep-10,28-Oct-10
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",17-Sep-10,29-Sep-10
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,17-Sep-10,22-Oct-10
The Peoples Bank,Winder,GA,182,Community & Southern Bank,17-Sep-10,29-Oct-10
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,17-Sep-10,22-Sep-10
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,17-Sep-10,23-Sep-10
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,17-Sep-10,21-Sep-10
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,10-Sep-10,1-Nov-10
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,20-Aug-10,26-Aug-10
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,20-Aug-10,22-Oct-10
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",20-Aug-10,28-Oct-10
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",20-Aug-10,30-Nov-10
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,20-Aug-10,22-Oct-10
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",20-Aug-10,22-Oct-10
